产品中文名字,产品英文名字,SKU ,Picture,MOQ,Size,QTY,单价,运费,计算运费,重量,计费重量,Item cost,Ship to FR(6-11 working days ),Ship to BE (6-10 working days ),Ship to CH (8-10 working days ),Ship to LU(8-12 working days ),Ship to IT (8-12 working days ),Total to FR,Total to BE,Total to CH,Total to LU,Total to IT,link,采购连接,备注
瑜伽裤,yoga clothes ,YOG-001,"=DISPIMG(""ID_807ECB23B26C40F6A9D6CC5A7776D5FE"",1)",50,S-3XL,1,15,0,0,250,270,2.47872428323556,2.14161778071553,2.94472444848385,4.95249111790465,2.98934148558209,2.09700074361728,4.62034206395109,5.42344873171941,7.43121540114021,5.46806576881765,4.57572502685285,,,
,,YOG-001,,,,2,30,0,0,500,520,4.95744856647112,4.03866809881848,5.67132116004297,8.16326530612245,5.32760472610097,4.03866809881848,8.9961166652896,10.6287697265141,13.1207138725936,10.2850532925721,8.9961166652896,,,
,,YOG-001,,,,3,45,0,0,750,770,7.43617284970669,5.98033545401966,8.39791787160208,12.0879120879121,7.88895315211105,5.98033545401966,13.4165083037263,15.8340907213088,19.5240849376188,15.3251260018177,13.4165083037263,,,
,,YOG-001,,,,4,60,0,0,1000,1020,9.91489713294225,7.92200280922085,11.1245145831612,16.0125588697017,10.4503015781211,7.92200280922085,17.8368999421631,21.0394117161035,25.927456002644,20.3651987110634,17.8368999421631,,,
,,YOG-001,,,,5,75,0,0,1250,1270,12.3936214161778,9.86367016442204,13.8511112947203,19.9372056514914,13.0116500041312,9.86367016442204,22.2572915805999,26.2447327108981,32.3308270676692,25.405271420309,22.2572915805999,,,
,,YOG-001,,,,6,90,0,0,1500,1620,14.8723456994134,12.5820044617037,17.6683466909031,25.4317111459969,16.5975378005453,12.5820044617037,27.4543501611171,32.5406923903165,40.3040568454102,31.4698834999587,27.4543501611171,,,
,,YOG-001,,,,7,105,0,0,1750,1880,17.3510699826489,14.6013385111129,20.5040072709246,29.5133437990581,19.2613401635958,14.6013385111129,31.9524084937619,37.8550772535735,46.864413781707,36.6124101462447,31.9524084937619,,,
,,YOG-002,,50,4-5XL,1,16.1,0,0,320,350,2.6604973973395,3.10249307479224,3.93777967185169,6.92094608992116,3.69912635840614,2.8041764329853,5.76299047213175,6.59827706919119,9.58144348726066,6.35962375574564,5.4646738303248,,,
,,YOG-002,,,,2,32.2,0,0,640,685,5.32099479467901,5.95525250372896,7.70679735776689,11.6769656935862,7.23971873002344,5.48817387598551,11.276247298408,13.0277921524459,16.9979604882652,12.5607135247024,10.8091686706645,,,
瑜伽短裤,Yoga shorts,ART-001,"=DISPIMG(""ID_FC0AA0C8559E4F88BF8DED5A10B74BE8"",1)",10,S-2XL,1,13,0,0,250,275,2.21606648199446,2.25015981248668,3.09396974216919,5.20349456637545,3.14084807159599,2.20328148305988,4.46622629448114,5.31003622416365,7.41956104836991,5.35691455359045,4.41934796505434,,,
,,ART-001,,,,2,26,0,0,500,535,4.43213296398892,4.28638397613467,6.01917749840188,8.66396761133603,5.6543788621351,4.28638397613467,8.71851694012359,10.4513104623908,13.096100575325,10.086511826124,8.71851694012359,,,
,,ART-001,,,,3,39,0,0,750,800,6.64819944598338,6.40954613253782,9.00063924994673,12.9554655870445,8.45514596207117,6.40954613253782,13.0577455785212,15.6488386959301,19.6036650330279,15.1033454080546,13.0577455785212,,,
,,ART-001,,,,4,52,,,1000,1065,8.86426592797784,8.53270828894098,11.9821010014916,17.246963562753,11.2559130620072,8.53270828894098,17.3969742169188,20.8463669294694,26.1112294907309,20.1201789899851,17.3969742169188,,,
连体塑身衣女,Women's bodysuit,ART-002,"=DISPIMG(""ID_EE4095801ACF43C8B7EFA7F43CC61D27"",1)",10,S-2XL,1,35,3.5,0.35,110,130,6.02599616450032,1.06371191135734,1.57340720221607,2.74792243767313,1.48476454293629,1.0415512465374,7.08970807585766,7.59940336671639,8.77391860217345,7.51076070743661,7.06754741103772,,,
